Gene,Ara_plusAnc,Ara_plus1Ev,Ara_minusAnc,Ara_minus1Ev,Ara_minusspoTAnc,Ara_minusAnc
gatA,-4.172541998,-4.215844202,-4.131386633,-4.085441004,-4.356071389,-4.403837081
yhaU,-4.475836684,-4.40179445,-4.3128369,-4.327442009,-3.971305241,-3.98267336
b0316,-3.645419451,-3.743369379,-3.246547578,-3.413320731,-3.647420109,-3.620453606
yiaJ,-3.168874269,-3.133231003,-3.164452272,-3.086398079,-3.204459328,-3.191060496
emrR,-3.58248504,-3.531371566,-3.557663863,-3.491532381,-3.457604405,-3.474094634
cynR,-3.685574373,-3.778634924,-3.668830399,-3.559366918,-3.691538646,-3.707487731
mtlR,-4.151580644,-4.206761806,-4.08319884,-4.068239187,-3.920975881,-3.970214251
b0805,-3.819282328,-3.79242627,-3.8458856,-3.763995557,-3.776980842,-3.782844993
adiY,-3.784018619,-3.71307921,-3.760175407,-3.669971733,-3.747595077,-3.799959817
insA_,-3.337630981,-3.342729581,-3.425665672,-3.119420095,-3.311630274,-3.301472279
rfbX,-4.863437515,-4.7117425,-4.956138889,-4.886453624,-4.855247716,-5.031751529
vacJ,-3.671205398,-3.617499392,-3.600584133,-3.551889743,-3.696963089,-3.725052526
glnP,-3.854274098,-3.939501878,-3.925093965,-4.049690983,-4.057875888,-4.109151597
araJ,-3.64608806,-3.63439792,-3.577212632,-3.547152953,-3.724592961,-3.734891106
rhaS,-3.785253479,-3.9146447,-3.564879358,-3.466930526,-3.621524864,-3.689796405
b1201,-4.14549613,-4.287997031,-4.030919641,-3.912044264,-3.862898508,-3.852389597
yjiR,-3.25141232,-3.174651695,-3.247905594,-3.140300226,-3.310306238,-3.293711591
ddlB,-3.686798325,-3.777777497,-3.704560958,-3.512530783,-3.821247992,-3.816147465
rcsC,-3.335529704,-3.256043005,-3.326537377,-3.232151489,-3.357469945,-3.374642966
b0357,-3.533759168,-3.405121995,-3.391405499,-3.343357096,-3.611486593,-3.650309405
potH,-3.612961878,-3.567298892,-3.549313488,-3.360061529,-3.677985815,-3.715227059
poxB,-3.690564599,-3.799980283,-3.716615572,-3.561330746,-3.782728936,-3.783241444
melA,-3.723759966,-3.724560451,-3.676380123,-3.473477968,-3.59242196,-3.609976545
b1497,-4.925319814,-4.860554158,-4.945805184,-4.94718274,-4.457424885,-4.506624023
b0257,-3.708043931,-3.6280306,-3.717349681,-3.422081674,-3.504555514,-3.55024267
hlpA,-3.777910146,-3.771155433,-3.777352957,-3.822847528,-3.997750984,-3.97051324
b2505,-4.399199621,-4.396479304,-4.414790593,-4.287382852,-4.235986797,-4.289882609
b1368,-3.244059943,-3.037331003,-3.161012856,-3.047789706,-3.266699417,-3.274216158
cydC,-3.758915502,-3.701191202,-3.765067092,-3.702562386,-3.828131635,-3.840105814
malI,-3.518231151,-3.443962065,-3.484887795,-3.401018208,-3.527043524,-3.537879712
uxuR,-3.868171091,-3.92816567,-3.859529671,-3.848434287,-3.709826303,-3.725314606
b1799,-4.286696896,-4.332082862,-4.300211636,-4.276916588,-4.044643068,-4.109735207
tra5_,-4.04641289,-4.012038303,-3.99266153,-4.11705501,-3.650047076,-3.707969434
argT,-3.279539347,-3.139361125,-3.176711898,-3.095457037,-3.291556691,-3.328436748
pstB,-3.519692762,-3.625403003,-3.50881433,-3.111298261,-3.219771415,-3.311420155
ydcC,-2.984912736,-2.81864984,-2.644612785,-2.454652961,-2.871562426,-2.963111886
yjiO,-3.216579796,-3.153464175,-3.200095502,-3.084879195,-3.431815067,-3.477564777
sanA,-4.477563448,-4.481550343,-4.553033485,-4.610014324,-4.223498901,-4.326718081
gltA,-3.47691158,-3.574497143,-3.59804986,-3.513203086,-3.663638091,-3.710342408
nuoN,-3.207498594,-3.13867602,-3.256478237,-3.08998404,-3.201218055,-3.211134647
fpr,-3.816415418,-3.856719253,-3.787728818,-3.77837575,-3.862214781,-3.906972328
secG,-3.660789062,-3.532501506,-3.747662277,-3.634390599,-3.576882611,-3.654310982
fecD,-3.81894149,-3.777933815,-3.817889245,-3.732798713,-3.862935087,-3.90736151
b2845,-4.040148831,-3.962984475,-4.078723582,-3.982478213,-4.04206448,-4.090708479
acrB,-4.067919437,-4.06205587,-4.05822776,-4.214253884,-3.713758171,-3.801339892
acrD,-4.003343094,-3.793925258,-3.811677284,-3.559302921,-3.631944655,-3.617146047
sucD,-3.538609519,-3.406817079,-3.614254076,-3.524667156,-3.674013268,-3.714028277
nuoF,-3.703246527,-3.664672349,-3.572996246,-3.61432261,-3.846149104,-3.849763385
qor,-4.142985371,-3.969517946,-3.974716872,-4.073311445,-3.898849713,-3.952239472
pshM,-4.508292716,-4.041187768,-4.412553156,-4.261525092,-4.293463587,-4.388133339
yabJ,-3.923230972,-3.853723936,-3.902282218,-3.825903202,-3.922817546,-3.94073514
b2975,-3.566428949,-3.485567122,-3.581471968,-3.445353803,-3.597964686,-3.633768737
nfnB,-4.273924203,-3.827817163,-4.369188597,-4.104026523,-4.131018351,-4.138334591
ygeD,-3.817816817,-3.777209166,-3.845378494,-3.75152743,-3.75858055,-3.769928407
dmsC,-3.62516971,-3.624100986,-3.565754102,-3.39840154,-3.583032554,-3.612228615
yffE,-3.543421514,-3.435558531,-3.547796229,-3.409466464,-3.550295533,-3.581364855
fdhF,-3.866796337,-3.827751996,-3.718899465,-3.622141076,-3.760585046,-3.785981094
gntU_,-3.533247976,-3.574163357,-3.433896538,-3.42997787,-3.582083132,-3.593802893
ykgG,-4.047123825,-4.008981249,-3.957289528,-3.930533893,-3.957667061,-4.032811722
yhdZ,-4.162917508,-4.07682715,-4.186151689,-4.105113906,-4.13828638,-4.198131246
ftsK,-3.970249576,-3.980247617,-4.098195378,-3.90951222,-3.848756576,-3.853015238
ftsJ,-4.127729643,-4.251633394,-4.064213422,-4.049800276,-4.128629912,-4.134122221
hyaF,-3.284619291,-3.386943475,-3.254518524,-3.068865292,-3.468615629,-3.519998396
hmpA,-3.484442311,-3.41552138,-3.511062966,-3.382923914,-3.518432732,-3.569555951
cybC,-4.334466163,-4.511733058,-4.519512628,-4.319019221,-4.274854828,-4.196230526
livH,-2.847703216,-2.774132134,-2.717150884,-2.701690525,-2.947223267,-2.966904286
b0513,-4.112948591,-4.062940132,-4.093224772,-4.032261737,-4.020383954,-4.02876349
b3486,-3.969784577,-3.93368072,-3.924792029,-3.828820439,-3.936395626,-4.001009517
mviM,-4.446193549,-4.484626638,-4.405791482,-4.41197083,-4.234831768,-4.217722861
ftsY,-3.751917765,-3.783029654,-3.779111262,-3.671263721,-3.635346669,-3.633440133
torD,-3.970881028,-4.026822584,-4.007957937,-3.889285702,-3.902450803,-3.877396402
hycD,-3.329604006,-3.218150194,-3.342633515,-3.174312773,-3.314543355,-3.314284382
dnaQ,-4.323247432,-4.390996133,-4.375185595,-4.26700955,-4.24034082,-4.307688445
pitA,-3.076461401,-2.967752672,-2.958784595,-2.895325627,-3.057690857,-3.101565966
b0715,-4.40502219,-4.465630052,-4.3392913,-4.43412849,-4.22537912,-4.263781692
yicL,-3.918172261,-3.870770347,-3.933187524,-3.803512064,-3.805393953,-3.756859055
flgE,-3.123828522,-4.625001772,-3.461145692,-4.498003974,-3.61918506,-3.437538483
cspB,-4.358927515,-4.506594925,-4.455166494,-4.313003149,-4.740121159,-4.733678078
b0939,-4.211628442,-4.215376538,-4.25564457,-4.222158674,-4.061501107,-4.184335563
b1650,-3.469891132,-3.42016468,-3.508853256,-3.386130418,-3.481644745,-3.506353215
yraM,-4.135776034,-4.118873527,-4.088322291,-4.178123509,-3.799008905,-3.907325139
cspA,-3.570947832,-3.884863373,-3.892778173,-3.650730613,-4.046029744,-4.017616993
narJ,-3.557926772,-3.528487311,-3.421907598,-3.446223382,-3.565754778,-3.595530627
hypE,-3.571094962,-3.492346562,-3.592121729,-3.494196158,-3.601093552,-3.632338352
holA,-3.520976587,-3.57091607,-3.394557906,-3.415421414,-3.725093213,-3.711350051
xylF,-2.99477805,-2.879385806,-2.834305801,-2.780194344,-3.017749086,-3.036869221
b0899,-3.744569918,-3.643590368,-3.709794065,-3.654004627,-3.727403203,-3.767274357
b3876,-4.115062357,-4.037356147,-4.1017422,-4.024559527,-4.049538534,-4.060957811
minE,-3.135493438,-3.199712073,-3.066800651,-2.950049495,-3.34692753,-3.397854544
ftsN,-3.661073296,-3.663567177,-3.829999453,-3.725744317,-3.871301165,-3.844428036
gapC_,-4.517263318,-4.604233861,-4.557013311,-4.609609354,-4.527547332,-4.557138918
rpiA,-3.861330844,-3.750952706,-3.907432941,-3.890431671,-3.906492497,-3.913341833
ycaJ,-3.581467758,-3.635260858,-3.62533074,-3.567027781,-3.716203862,-3.705073657
uhpC,-3.151401287,-2.933975427,-3.037396268,-2.894482266,-3.024404357,-3.048490064
b1318,-3.805662797,-3.860787333,-3.725274981,-3.715704461,-3.798545666,-3.84788662
yjeH,-3.983256991,-3.951535042,-3.937304393,-3.897811083,-3.869348608,-3.925293137
tehA,-4.549867815,-4.572845868,-4.505101775,-4.466149807,-4.130433567,-4.213170201
ampC,-4.280207844,-4.072518571,-4.266902338,-4.218193938,-4.129611241,-4.187182595
fdnG,-4.603733049,-4.733582078,-4.527382052,-4.74798093,-4.204728686,-4.247530046
hybC,-4.101096292,-3.92250138,-4.012527389,-4.02672458,-3.905304853,-3.981001135
tpr,-4.379577839,-4.232746512,-4.267591843,-4.193752215,-4.479074753,-4.503237469
cysA,-3.107191789,-3.106427157,-2.963512124,-3.138937629,-3.232922799,-3.303193336
rbsB,-3.265070279,-4.056376403,-3.487826061,-4.033322131,-3.557848295,-3.64145812
ydhC,-4.245501401,-4.172734499,-4.234394914,-4.219340919,-4.192037533,-4.265341698
caiD,-3.838077932,-3.925497125,-3.008101201,-3.389988409,-3.608645598,-3.628985564
b1828,-3.987106209,-4.032368238,-3.935332529,-3.884535907,-3.833968043,-3.895251407
fixA,-4.306326627,-4.305751842,-4.341396589,-4.24316543,-4.062882541,-4.170805455
zwf,-3.264536269,-3.233366276,-3.291880874,-3.221353988,-3.440034599,-3.40999728
glpE,-3.746629136,-3.705956297,-3.584250862,-3.558740137,-3.812189629,-3.82711631
ffh,-3.299717378,-3.284113871,-3.247585125,-3.203480867,-3.313630805,-3.353650982
sbp,-4.052181893,-4.11537691,-4.051721692,-3.962377055,-3.888767351,-3.987030312
b2077,-3.907084426,-3.878069037,-3.722297347,-3.699658583,-3.889752386,-3.919783023
ftsI,-3.117280899,-3.045354102,-2.754307877,-2.746702851,-3.164660047,-3.219521647
cheB,-3.72339892,-3.717668755,-3.782271757,-3.612140007,-3.739869565,-3.759345431
lpdA,-3.1710738,-3.089528246,-3.278184929,-3.182228003,-3.3769782,-3.462990411
dsbE,-3.222948374,-3.086774758,-3.214347759,-3.033920064,-3.345572615,-3.33933083
atpD,-3.645397118,-3.575156452,-3.65672101,-3.728425061,-3.669934979,-3.709163399
sdaC,-3.567688252,-3.517556337,-3.494470216,-3.47212778,-3.541573933,-3.592915226
malE,-3.776709507,-4.007179587,-3.913200449,-3.895428755,-3.953520684,-3.98412806
yeiM,-4.428727253,-4.397465156,-4.407074043,-4.327031819,-4.227481473,-4.275732467
yadK,-3.845114185,-3.729252305,-3.558008605,-3.507858168,-3.87740569,-3.946793593
otsA,-4.207478462,-4.147957909,-4.194953149,-4.232418244,-4.037961299,-4.084461796
cyoD,-4.031936596,-4.035855864,-4.052566737,-4.112135179,-4.094238213,-4.13045269
napB,-3.813309844,-3.73620495,-3.841814272,-3.723830856,-3.810411016,-3.81907753
ubiB,-4.105921511,-4.106915397,-4.244177376,-4.27954991,-3.973587524,-4.009324583
b2968,-2.860169781,-2.732305689,-2.750964297,-2.604702248,-2.961784245,-3.032951168
melB,-3.726964155,-3.685544965,-3.729790033,-3.631623743,-3.707032223,-3.762325406
b2372,-4.273485025,-4.299184374,-4.301976301,-4.220071327,-4.092768805,-4.167246671
ykgC,-4.680670262,-4.591891287,-4.635346134,-4.639177137,-4.187000629,-4.307805034
araA,-4.363584334,-4.391213579,-4.274918415,-4.187160149,-4.036178527,-4.087069131
xylB,-4.05504989,-4.180142013,-3.952751925,-4.015593756,-3.789582747,-3.814996708
b0570,-4.273281882,-4.238305402,-4.344812773,-4.298523674,-4.120394486,-4.106432125
yidZ,-3.610181136,-3.585501717,-3.623655048,-3.495887649,-3.541852809,-3.517405482
yagD,-5.300779663,-5.71883413,-5.284163265,-5.458018097,-5.314313392,-5.395604144
ygiL,-4.790737037,-4.582224856,-4.933132406,-4.846738002,-4.465676944,-4.671396842
yfcA,-3.588288991,-3.519502401,-3.505476475,-3.479259259,-3.587172891,-3.624632354
potC,-3.625170801,-3.637793221,-3.48265858,-3.505081203,-3.820336781,-3.886598139
gatD,-4.811984901,-4.876325839,-4.687811487,-4.577852924,-4.280615554,-4.366729744
phoP,-4.238342591,-4.355904551,-4.255568908,-4.220658005,-4.12761342,-4.192251449
yohI,-4.586493425,-4.82519236,-4.560981444,-4.609491406,-4.177175072,-4.234665312
nfrB,-4.696865064,-4.678072639,-4.707723259,-4.573598889,-4.577063963,-4.808571691
fimZ,-3.764721817,-3.748119673,-3.747945887,-3.184713703,-3.444162334,-3.424520275
murA,-3.858020181,-3.94201745,-3.905063634,-3.922026133,-3.881504936,-3.915822416
b2954,-3.610866894,-3.454607804,-3.521568825,-3.416742285,-3.616639714,-3.654941288
oppA,-3.407894036,-3.513417112,-3.495899215,-3.523514217,-3.721175173,-3.717756455
pta,-4.431312446,-4.38322203,-4.494618001,-4.44561272,-4.344264095,-4.459943515
suhB,-4.466284244,-4.5828146,-4.38109531,-4.463924631,-4.18905712,-4.30804461
b2380,-4.483531062,-4.536331705,-4.499955382,-4.492412148,-4.086773168,-4.188770738
tra5_,-3.544744384,-3.507840747,-3.531471095,-3.455840886,-3.439636999,-3.45755682
rlpB,-3.727852282,-3.70295722,-3.714704664,-3.56167149,-3.774073048,-3.75407251
mrcA,-3.960696833,-3.907232996,-3.813817361,-3.907118996,-3.974062323,-4.044827182
yjdA,-3.250924028,-3.174037048,-3.144889067,-3.048047145,-3.240211078,-3.285742293
sapD,-3.82045078,-3.885776461,-3.82873762,-3.76972507,-3.96212647,-3.99922234
eutI,-3.8577349,-3.800736328,-3.85151055,-3.734060479,-3.842142632,-3.881002067
barA,-4.526870048,-4.898548902,-4.517676729,-4.713133161,-4.152052246,-4.210002331
ygaE,-3.365475758,-3.092193026,-3.35655148,-3.124884231,-3.28534387,-3.279010704
pspB,-3.511561788,-3.400011862,-3.300298766,-3.374321436,-3.848021256,-3.858618162
ompF,-2.030755944,-2.389282892,-2.195798889,-2.499084635,-2.610866227,-2.464516249
yiaN,-4.235788404,-4.301219003,-4.085036948,-4.217127245,-3.945016778,-4.050152793
nhaR,-3.678070639,-3.549654007,-3.587609082,-3.587710075,-3.666509532,-3.717530826
b1483,-3.668709902,-3.63380104,-3.576496104,-3.440719024,-3.545992639,-3.432409715
b2787,-3.537441972,-3.560102517,-3.558669753,-3.539509731,-3.584796123,-3.589312258
spoT,-4.05183181,-4.025502137,-4.116935728,-4.099546647,-4.177291451,-4.177983116
b2852,-4.431266676,-4.351737249,-4.520108182,-4.27842716,-4.746360292,-4.781366228
b1362,-3.66203006,-3.696145083,-3.666156132,-3.623263904,-3.692347795,-3.711738598
csgG,-4.488577575,-4.642209038,-4.599027276,-4.772300189,-4.372230948,-4.399780074
rfaK,-4.596567432,-4.46896724,-4.637377901,-4.624639516,-4.742345612,-4.867102979
fhuB,-4.532041021,-4.613435635,-4.342786624,-4.550433983,-3.948136731,-4.004404258
btuE,-4.432431545,-4.465635641,-4.476126922,-4.348336255,-4.350732269,-4.428835896
fucR,-4.120977096,-4.09708364,-4.13643927,-4.089803482,-4.104491092,-4.142667601
soxS,-4.115331074,-4.065010116,-4.129516154,-3.854773258,-3.878368865,-3.782149869
yhaO,-4.510412404,-4.376268628,-4.39723092,-4.425981902,-4.020208254,-4.079974186
insA_,-3.38729998,-3.403249385,-3.464820042,-3.11563761,-3.270098848,-3.298887212
yi52_,-3.539725657,-3.427241564,-3.309387886,-3.113772616,-3.551615837,-3.495952018
fliO,-4.737032638,-4.484989514,-4.632042962,-4.524781947,-4.813309414,-4.810568548
b0489,-3.467706338,-3.38421211,-3.386846599,-3.315711459,-3.452427788,-3.489030319
b0709,-3.406753438,-3.316273041,-3.356224635,-3.222252987,-3.491750015,-3.492653061
yciD,-4.671862741,-4.669982544,-4.579954755,-4.344634148,-4.304522814,-4.265879386
rfaG,-4.764845361,-4.828961976,-4.884396333,-4.799902098,-4.672620705,-4.805537532
secF,-3.602888058,-3.537635138,-3.507000445,-3.50210292,-3.577966832,-3.630835312
araH,-4.372362308,-4.229868911,-4.449830177,-4.389564062,-4.412244711,-4.456987922
icc,-3.980098085,-3.94093047,-3.924945371,-4.006540934,-3.983881582,-4.076567545
perR,-4.401219185,-4.547929408,-4.35213137,-4.233168713,-4.52795673,-4.555977444
yhhM,-4.210369289,-4.241888685,-4.132499005,-4.092697876,-4.228930606,-4.287842916
b2394,-3.661358546,-3.549241912,-3.68385091,-3.558440655,-3.4051786,-3.467495949
lpp,-3.709070515,-3.124054745,-3.507011221,-3.367165734,-3.825584488,-3.672109582
rfaH,-4.196405429,-4.032379483,-4.080984094,-4.186173372,-4.175545083,-4.245871451
fepA,-3.777677222,-3.419633333,-3.43943475,-3.833474919,-3.778970064,-3.825494783
molR_,-4.412797103,-4.366966228,-4.418566944,-4.420551872,-4.328634204,-4.371203494
agaZ,-4.379281116,-4.176859827,-4.406886636,-4.366537708,-4.342911443,-4.427274699
b0318,-4.479199596,-4.48140028,-4.377408506,-4.31893433,-3.987950852,-3.980037609
yiaU,-3.700128578,-3.756513509,-3.564029059,-3.523610193,-3.729720131,-3.80035865
yi22_,-3.294521905,-3.025620584,-3.245882917,-3.001055761,-3.148322071,-3.149136025
fliT,-5.032276171,-4.736851128,-4.868829832,-4.666085451,-5.024483771,-4.961346035
fimI,-4.810294561,-4.768511877,-4.737743776,-4.736459362,-4.156832258,-4.19776789
gltK,-3.381274146,-3.284346718,-3.256257579,-3.208467874,-3.380160927,-3.430603125
fruB,-3.906595269,-3.830079955,-3.83367406,-3.750709017,-3.921887608,-3.950279905
lacA,-5.067637698,-4.79775073,-4.923352627,-4.978776914,-4.490806393,-4.538716087
bglB,-4.316268312,-4.274741897,-4.27301782,-4.352800458,-3.895726156,-3.949118994
b0836,-3.670837687,-3.598884492,-3.666341138,-3.560742552,-3.734019545,-3.746086287
yjdG,-3.687120999,-3.624546819,-3.689453862,-3.577502064,-3.66444823,-3.683594708
creD,-4.73953643,-4.797265022,-4.614245822,-4.634359098,-4.164604333,-4.278637191
b2059,-3.731124669,-3.671111534,-3.391686543,-3.292217639,-3.718570921,-3.663095882
nlpB,-3.331084681,-3.266631449,-3.250115071,-3.219515879,-3.376984445,-3.391583531
glnH,-3.678024355,-3.843381481,-3.807129468,-3.977246934,-4.004896376,-4.027367271
malZ,-3.672840981,-3.66873761,-3.6952483,-3.559606917,-3.709559475,-3.731260306
rhaR,-4.365054379,-4.46583638,-4.31772315,-4.439702428,-3.957237605,-4.027373879
b1284,-3.587501085,-3.631768481,-3.629699522,-3.524115618,-3.66826949,-3.662047769
yjjQ,-4.079918473,-4.037748029,-4.101142409,-4.027568394,-3.963849399,-4.052600416
lpxC,-3.940219208,-4.024130876,-4.018721484,-4.069948554,-4.132709169,-4.205486803
b2253,-4.185129767,-4.480715007,-4.184225656,-4.161035971,-3.922223842,-3.923170121
b0465,-4.664086947,-4.794116693,-4.57089328,-4.649956837,-4.225155277,-4.325871181
potI,-4.025774551,-3.989157843,-4.006762394,-3.893225173,-4.012914452,-4.027222779
focA,-3.977325104,-3.966711906,-4.036567872,-3.952683388,-3.968502817,-4.023855377
b4198,-4.467301104,-4.706841947,-4.354633269,-4.308566268,-4.059069047,-4.104301195
b1512,-3.406817416,-3.293712053,-3.356436665,-3.08336651,-3.262158216,-3.208286978
yi52_,-3.094769697,-3.051749894,-3.006554723,-2.860673462,-3.149524643,-3.159604831
lpxD,-3.648682065,-3.706130125,-3.723743837,-3.762786354,-3.858360243,-3.910100769
yfgA,-3.874104916,-4.060200061,-3.934428753,-3.957219258,-3.851543462,-3.754740986
b1376,-3.503864621,-3.489325537,-3.520487609,-3.404766116,-3.50683104,-3.489181199
cydD,-3.747841284,-3.722222342,-3.755167681,-3.681357862,-3.80859221,-3.807718669
malY,-4.101690155,-4.152712053,-4.161783407,-3.968278571,-3.956441808,-3.973918646
lytB,-4.37398289,-4.45635004,-4.409011175,-4.300808639,-4.326596142,-4.409586258
b1827,-3.334898564,-3.296160783,-3.34701218,-3.276048978,-3.457521016,-3.459091065
ybaN,-3.691989813,-3.658771178,-3.708080432,-3.620008886,-3.676387,-3.693001373
fadL,-3.374147212,-3.259306913,-3.293138268,-3.218415276,-3.388694314,-3.415648696
pstA,-4.298861427,-4.361811716,-4.384723719,-4.313503822,-4.151653319,-4.131065518
b1487,-3.765761463,-3.674936169,-3.78028615,-3.666953365,-3.771852478,-3.799473989
b4356,-4.492223811,-4.464914011,-4.457400068,-4.451043791,-4.036358793,-4.038934108
bcr,-3.96038701,-3.960407934,-3.927132458,-3.825041107,-3.764752103,-3.784451357
sdhC,-3.730349332,-3.835253113,-3.790429825,-3.85484569,-3.99827551,-4.052062111
nuoM,-3.317953051,-3.256014402,-3.390085319,-3.214666936,-3.334513545,-3.369611838
talC,-5.011146524,-4.779089175,-4.876990597,-4.903229903,-4.243286543,-4.398724551
ptsN,-2.345675663,-2.248405274,-2.136782485,-2.107970682,-2.583508637,-2.644390637
fecC,-3.456334755,-3.371764045,-3.428154001,-3.344830705,-3.514701557,-3.547561148
b2882,-3.720893811,-3.679030923,-3.751121473,-3.64977026,-3.750235993,-3.788866829
acrR,-4.369744105,-4.533011708,-4.531868962,-4.460073955,-4.20388311,-4.236938086
hscA,-3.784991365,-3.710589313,-3.801507926,-3.729593752,-3.738578984,-3.760934902
farR,-3.850944785,-3.715711901,-3.909107895,-3.628790059,-3.735341205,-3.759662657
nuoE,-3.4598675,-3.458113383,-3.569478118,-3.350655652,-3.506721657,-3.497767851
nrfA,-5.056609163,-5.274451198,-4.896897499,-5.025773289,-4.262569354,-4.376114182
bfr,-4.111844357,-4.159253325,-4.135631452,-4.062001768,-4.108802931,-4.187512527
yabK,-3.30587574,-3.228328051,-3.344627738,-3.154724496,-3.386077528,-3.412716749
ygjU,-3.683258156,-3.687813902,-3.744672481,-3.62863247,-3.697060228,-3.750173759
