ID,Date,Site,Area,Object,Alert distance (AD),Flight initiation distance (FID)
111,10/16/2016,SHIRAKABA,URBAN,HUMAN,NA,2.6
112,10/16/2016,ODORI,URBAN,NOVEL,20.9,16.6
113,10/16/2016,CHUO,URBAN,NOVEL,NA,26
114,10/16/2016,CHUO,URBAN,NOVEL,NA,28
115,10/16/2016,CHUO,URBAN,HUMAN,30,12.2
116,10/16/2016,CHUO,URBAN,FOX,34,24
117,10/16/2016,CHUO,URBAN,NOVEL,NA,21.4
118,10/20/2016,AKENOGAOKA,RURAL,HUMAN,NA,21.7
119,10/20/2016,AKENOGAOKA,RURAL,HUMAN,NA,20
120,10/20/2016,AKENOGAOKA,RURAL,NOVEL,NA,27
121,10/21/2016,HEISEI,RURAL,HUMAN,29.4,24.8
122,10/21/2016,HEISEI,RURAL,NOVEL,NA,19
123,10/21/2016,HEISEI,RURAL,FOX,35,22
124,10/22/2016,HEISEI,RURAL,NOVEL,42,25
125,10/22/2016,HEISEI,RURAL,FOX,22.8,18.7
126,10/22/2016,HEISEI,RURAL,HUMAN,35,19.4
127,10/22/2016,HEISEI,RURAL,HUMAN,NA,37
128,10/24/2016,SUZURAN,URBAN,FOX,33,20
129,10/24/2016,SUZURAN,URBAN,NOVEL,18.2,5.6
130,10/24/2016,SUZURAN,URBAN,HUMAN,24,2.3
131,10/24/2016,SUZURAN,URBAN,NOVEL,NA,7.8
132,10/24/2016,SUZURAN,URBAN,FOX,NA,21.7
133,10/24/2016,SUZURAN,URBAN,FOX,NA,15.7
134,10/24/2016,SUZURAN,URBAN,NOVEL,NA,7.2
135,10/24/2016,SUZURAN,URBAN,HUMAN,17,3
136,10/24/2016,SUZURAN,URBAN,NOVEL,31,16
137,10/24/2016,SUZURAN,URBAN,FOX,18,7.3
